Unnamed: 0,RangeStart,RangeEnd,Date,dayNum,days,Strike_1M,LongSR,ShortSR,longs,shorts,AvgMAE,MaxMAE,AvgMFE,MaxMFE,AvgRangePoints,AvgRangePerc,AvgDuration,MAE1,MAE2,MAE3,MAEs,Strike_3M,Strike_6M,Strike_1Y,Weighted_Strike,Instrument
2,18:00,18:30,Tuesday,2,5,100,100.0,100.0,4,1,0.09,0.2,0.55,1.68,0,0.088,251.0,0.4,0.4,0.0,0.0,92.0,92.0,90.0,92.0,6e
4,18:00,18:30,Thursday,4,5,80,75.0,100.0,4,1,0.09,0.31,0.5,0.94,0,0.064,204.0,0.2,0.2,0.2,0.2,93.0,85.0,88.0,87.30000000000001,6e
8,18:30,19:00,Tuesday,2,5,100,100.0,100.0,3,2,0.05,0.16,0.58,1.68,0,0.036,114.0,0.4,0.2,0.0,0.0,100.0,92.0,94.0,95.19999999999999,6e
9,18:30,19:00,Wednesday,3,5,80,100.0,67.0,2,3,0.13,0.32,0.1,0.17,0,0.044,240.0,0.4,0.4,0.4,0.2,86.0,85.0,91.0,87.1,6e
10,18:30,19:00,Thursday,4,5,80,50.0,100.0,2,3,0.08,0.31,0.26,0.55,0,0.062,196.0,0.2,0.2,0.2,0.2,93.0,89.0,90.0,89.3,6e
11,18:30,19:00,Totals,7,25,80,77.78,81.25,9,16,0.11,0.33,0.28,1.68,0,0.056,213.0,0.44,0.28,0.24,0.2,88.8,85.6,90.6,87.68,6e
15,19:00,19:30,Wednesday,3,5,100,100.0,100.0,2,3,0.09,0.2,0.13,0.2,0,0.076,214.0,0.4,0.4,0.0,0.0,93.0,89.0,91.0,91.69999999999999,6e
16,19:00,19:30,Thursday,4,5,100,100.0,100.0,3,2,0.06,0.1,0.45,0.95,0,0.066,112.0,0.2,0.0,0.0,0.0,100.0,93.0,94.0,95.5,6e
18,19:30,20:00,Sunday,0,5,100,100.0,100.0,2,3,0.08,0.19,0.31,0.53,0,0.094,249.0,0.4,0.2,0.0,0.0,93.0,85.0,83.0,87.30000000000001,6e
19,19:30,20:00,Monday,1,5,80,50.0,100.0,2,3,0.14,0.3,0.23,0.77,0,0.064,440.0,0.8,0.2,0.2,0.2,86.0,89.0,94.0,89.5,6e
20,19:30,20:00,Tuesday,2,5,80,80.0,0.0,5,0,0.13,0.3,0.49,1.74,0,0.05,241.0,0.6,0.4,0.4,0.2,92.0,88.0,90.0,88.8,6e
22,19:30,20:00,Thursday,4,5,100,100.0,100.0,3,2,0.04,0.11,0.46,0.95,0,0.056,91.0,0.2,0.0,0.0,0.0,100.0,89.0,90.0,92.7,6e
23,19:30,20:00,Totals,7,25,88,85.71,90.91,14,11,0.1,0.32,0.36,1.74,0,0.07,243.8,0.52,0.2,0.16,0.12,91.4,87.2,88.8,88.76,6e
26,20:00,20:30,Tuesday,2,5,80,67.0,100.0,3,2,0.2,0.3,0.57,1.73,0,0.068,506.0,1.0,0.6,0.4,0.2,92.0,88.0,92.0,89.6,6e
44,21:30,22:00,Tuesday,2,5,100,100.0,100.0,4,1,0.09,0.16,0.61,1.82,0,0.054,216.0,0.6,0.4,0.0,0.0,92.0,88.0,86.0,89.19999999999999,6e
46,21:30,22:00,Thursday,4,5,80,100.0,67.0,2,3,0.13,0.31,0.41,0.65,0,0.072,259.0,0.4,0.4,0.4,0.2,86.0,89.0,90.0,87.9,6e
50,22:00,22:30,Tuesday,2,5,80,100.0,50.0,3,2,0.16,0.38,0.26,0.49,0,0.056,254.0,0.8,0.4,0.2,0.2,83.0,88.0,88.0,86.2,6e
56,22:30,23:00,Tuesday,2,5,80,100.0,50.0,3,2,0.13,0.34,0.28,0.49,0,0.062,182.0,0.6,0.2,0.2,0.2,83.0,92.0,90.0,88.2,6e
58,22:30,23:00,Thursday,4,5,80,0.0,80.0,0,5,0.08,0.3,0.22,0.53,0,0.052,94.0,0.4,0.2,0.2,0.2,86.0,93.0,84.0,86.69999999999999,6e
62,23:00,23:30,Tuesday,2,5,80,100.0,0.0,4,1,0.1,0.34,0.21,0.33,0,0.054,142.0,0.4,0.2,0.2,0.2,83.0,92.0,90.0,88.2,6e
64,23:00,23:30,Thursday,4,5,60,67.0,50.0,3,2,0.15,0.31,0.21,0.54,0,0.046,139.0,0.6,0.4,0.4,0.4,86.0,93.0,88.0,86.3,6e
68,23:30,00:00,Wednesday,3,5,80,100.0,75.0,1,4,0.14,0.32,0.31,0.51,0,0.062,166.0,0.6,0.4,0.2,0.2,92.0,92.0,94.0,91.6,6e
69,23:30,00:00,Thursday,4,5,100,100.0,100.0,1,4,0.1,0.29,0.33,0.63,0,0.082,201.0,0.4,0.2,0.2,0.0,93.0,81.0,83.0,86.10000000000001,6e
82,00:30,01:00,Friday,5,5,80,100.0,50.0,3,2,0.09,0.3,0.26,0.75,0,0.052,76.0,0.2,0.2,0.2,0.2,86.0,93.0,92.0,89.9,6e
